# Four-tile direct derivation wait report

allFourTileShapes: 66045
enumeratedDerivations: 5100
tenpaiReports: 3756

## Reducibility

### Reducible
count: 1647
waitCoreCacheHits: 1802
waitCoreCacheMisses: 34
waitCoreCacheEntries: 34

### Irreducible
count: 2109

#### Groups by waitDecompositionCodes
groupCount: 11
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
456m2z	2z	reducible	[26]	24
99m13p	2p	irreducible	[21]	20
66m68s	7s	irreducible	[21]	20
3m555s	3m	reducible	[34]	30
6p333s	6p	reducible	[34]	30
888s3z	3z	reducible	[34]	30
67m88s	58m	irreducible	[15, 15]	11895
2228m	8m	reducible	[34]	30
555s5z	5z	reducible	[34]	30
56m33p	47m	irreducible	[15, 15]	11895
34p66s	25p	irreducible	[15, 15]	11895
4s555z	4s	reducible	[34]	30
12m88p	3m	irreducible	[33]	29
88m57p	6p	irreducible	[21]	20
3p789s	3p	reducible	[26]	24
1567m	1m	reducible	[26]	24
88s22z	8s2z	irreducible	[9, 9]	7137
555s7z	7z	reducible	[34]	30
55p34s	25s	irreducible	[15, 15]	11895
55p68s	7s	irreducible	[21]	20
555s6z	6z	reducible	[34]	30
33p11s	3p1s	irreducible	[9, 9]	7137
8m444z	8m	reducible	[34]	30
34p33z	25p	irreducible	[15, 15]	11895
88p12s	3s	irreducible	[33]	29
88p78s	69s	irreducible	[15, 15]	11895
11p44z	1p4z	irreducible	[9, 9]	7137
4p111s	4p	reducible	[34]	30
567m1p	1p	reducible	[26]	24
6888s	67s	irreducible	[21, 34]	23780
678m9p	9p	reducible	[26]	24
567m6z	6z	reducible	[26]	24
66p88s	6p8s	irreducible	[9, 9]	7137
22m68s	7s	irreducible	[21]	20
5888p	5p	reducible	[34]	30
78p55s	69p	irreducible	[15, 15]	11895
666s1z	1z	reducible	[34]	30
567m7z	7z	reducible	[26]	24
33m77p	3m7p	irreducible	[9, 9]	7137
56m55p	47m	irreducible	[15, 15]	11895
444p2z	2z	reducible	[34]	30
9p567s	9p	reducible	[26]	24
444m7z	7z	reducible	[34]	30
8m888s	8m	reducible	[34]	30
1m456p	1m	reducible	[26]	24
5p345s	5p	reducible	[26]	24
567m5z	5z	reducible	[26]	24
68m22z	7m	irreducible	[21]	20
22m22z	2m2z	irreducible	[9, 9]	7137
77m99s	7m9s	irreducible	[9, 9]	7137
5679p	9p	reducible	[26]	24
1333z	1z	reducible	[34]	30
444m2p	2p	reducible	[34]	30
7m111z	7m	reducible	[34]	30
3499m	25m	irreducible	[15, 15]	11895
78m88s	69m	irreducible	[15, 15]	11895
88m35s	4s	irreducible	[21]	20
11m46s	5s	irreducible	[21]	20
78s44z	69s	irreducible	[15, 15]	11895
8999m	78m	irreducible	[33, 34]	23789
4m234s	4m	reducible	[26]	24
23m11z	14m	irreducible	[15, 15]	11895
4445m	356m	irreducible	[15, 15, 34]	18829815
44p77z	4p7z	irreducible	[9, 9]	7137
89m66s	7m	irreducible	[33]	29
6p666z	6p	reducible	[34]	30
888m6p	6p	reducible	[34]	30
234m2z	2z	reducible	[26]	24
44p66z	4p6z	irreducible	[9, 9]	7137
444p3s	3s	reducible	[34]	30
4m567s	4m	reducible	[26]	24
6p777z	6p	reducible	[34]	30
123m4s	4s	reducible	[26]	24
66m66p	6m6p	irreducible	[9, 9]	7137
99m33z	9m3z	irreducible	[9, 9]	7137
33m88s	3m8s	irreducible	[9, 9]	7137
4677m	5m	irreducible	[21]	20
2377s	14s	irreducible	[15, 15]	11895
44p57s	6s	irreducible	[21]	20
3366p	36p	irreducible	[9, 9]	7137
66m24s	3s	irreducible	[21]	20
5557p	67p	irreducible	[21, 34]	23780
456p1s	1s	reducible	[26]	24
2244p	24p	irreducible	[9, 9]	7137
2256m	47m	irreducible	[15, 15]	11895
55p44s	5p4s	irreducible	[9, 9]	7137
2268s	7s	irreducible	[21]	20
44s33z	4s3z	irreducible	[9, 9]	7137
7s111z	7s	reducible	[34]	30
2227z	7z	reducible	[34]	30
777m6p	6p	reducible	[34]	30
66p22s	6p2s	irreducible	[9, 9]	7137
77m22p	7m2p	irreducible	[9, 9]	7137
2226z	6z	reducible	[34]	30
67m55p	58m	irreducible	[15, 15]	11895
12m44z	3m	irreducible	[33]	29
2499p	3p	irreducible	[21]	20
79p11z	8p	irreducible	[21]	20
8m999p	8m	reducible	[34]	30
68m11s	7m	irreducible	[21]	20
2678s	2s	reducible	[26]	24
234p9s	9s	reducible	[26]	24
6p555z	6p	reducible	[34]	30
55m46s	5s	irreducible	[21]	20
3566s	4s	irreducible	[21]	20
999m1z	1z	reducible	[34]	30
1345m	1m	reducible	[26]	24
68m66p	7m	irreducible	[21]	20
2225z	5z	reducible	[34]	30
46m99s	5m	irreducible	[21]	20
88p66s	8p6s	irreducible	[9, 9]	7137
3m789s	3m	reducible	[26]	24
333p1s	1s	reducible	[34]	30
123s2z	2z	reducible	[26]	24
6m444z	6m	reducible	[34]	30
567m4z	4z	reducible	[26]	24
55m34p	25p	irreducible	[15, 15]	11895
6m888s	6m	reducible	[34]	30
99m67p	58p	irreducible	[15, 15]	11895
55m44p	5m4p	irreducible	[9, 9]	7137
1p666s	1p	reducible	[34]	30
4466s	46s	irreducible	[9, 9]	7137
89m33p	7m	irreducible	[33]	29
4477m	47m	irreducible	[9, 9]	7137
23m44s	14m	irreducible	[15, 15]	11895
66s66z	6s6z	irreducible	[9, 9]	7137
22p78s	69s	irreducible	[15, 15]	11895
