# Thirteen-tile direct derivation wait report

generationWorkers: 16
classificationWorkers: 8
bucketCount: 256
generationReused: false

allThirteenTileShapes: 98521596000
enumeratedDerivations: 93251547
tenpaiReports: 54747045

## Reducibility

### Reducible
count: 54707433
waitCoreCacheHits: 59314756
waitCoreCacheMisses: 7282138
waitCoreCacheEntries: 7282138

### Irreducible
count: 39612

#### Groups by waitDecompositionCodes
groupCount: 708
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
[43095, 56355, 56355, 56355, 97682]	283237569017434	12	3344445555678p	2369p
[25857, 32955, 32955, 46137, 56355, 56355, 57122, 57122, 103173, 127738]	90476096112197704710041774504	6	5556667777889s	5689s
[60333, 78897, 97682]	451564238	18	3445567777999s	48s
[25857, 43095, 43095, 56355, 60333, 97682]	224325335026503824	24	4445567788889p	356p
[32955, 32955, 43095, 43095, 46137, 46137, 72501, 74698]	137782879331495104279427	6	1122334445567p	3568p
[32955, 32955, 32955, 60333, 72501, 74698, 74698]	173969231020452378563	18	2345555667789m	14679m
[19773, 43095, 43095, 43095, 43095, 56355, 56355, 78897, 97682]	111447576214200618758228597	12	3334455556678m	234679m
[25857, 25857, 43095, 43095, 43095, 56355, 56355, 97682, 97682]	111449726365179961982070752	12	3456677778999m	235689m
[19773, 19773, 43095, 43095, 43095, 60333, 74698]	173963604920219229245	42	1123344556777m	147m
[32955, 32955, 32955, 46137, 57122, 57122]	213417824465238467	66	2344556667778p	147p
[25857, 25857, 32955, 32955, 46137, 56355, 57122]	169026605356049293856	24	2223344445566p	23567p
[25857, 25857, 32955, 56355, 56355, 72501]	218714987079737888	6	3444455566789p	2567p
[25857, 25857, 32955, 32955, 32955, 46137, 57122]	169020984384693600800	12	1112233456678s	12347s
[32955, 32955, 32955, 43095, 43095, 46137, 60333, 74698, 74698]	109124632018227488717365187	60	2222333444556s	13467s
[32955, 32955, 33813, 33813, 43095, 43095, 46137]	164329548019424976515	18	3444455556677s	23678s
[19773, 19773, 43095, 43095, 43095, 60333, 60333, 97682]	140711207884926185135165	18	1112233445556p	14567p
[25857, 25857, 56355, 56355, 97682]	283237568957984	18	1112344445677s	17s
[19773, 43095, 43095, 43095, 43095, 43095, 78897, 97682, 97682]	111449732527473758607723125	12	3333445567888m	2456789m
